original_sha	old_subject	new_subject
d68cef8ec7394c3377de43b268eb463a45ec454d	Beads: focusa-failed focusa-update focusa-w26jj.5	test: prove OTA atomic rollback safety
d731125e1372a2be55690377a869918e918b54ca	Beads: focusa-88yx4 focusa-w26jj focusa-w26jj.1 focusa-w26jj.2	docs: close Spec 125 trajectory strictness revalidation
b8a26bdd5ccd9c774005f607116f80054e6c18d8	Beads: focusa-w26jj.3	fix: reject cross-account agent runtime scopes
f0a3261386baa032d63f902096850245f8409c05	Beads: focusa-api focusa-cont focusa-w26jj.3	feat: enforce bounded subagent result isolation
8ba1312dea0dd63a1fb4088441803d9ca5f0db56	Beads: focusa-w26jj.3	chore: close Spec 130 API and fidelity gates
301fb42bfe3cd5fabf2b280949fa6dad806d9f28	Beads: focusa-w26jj focusa-w26jj.2 focusa-w26jj.3	feat: close Spec 130 compaction memory gate
f3a0f91be06725ead636971e35ce7ff8c3c82c12	Beads: focusa-intent focusa-w26jj focusa-w26jj.3 focusa-w26jj.4	docs: close Specs 82 and 94 optimization lane
eacb009ca9a063e5d9311e11e4adada734a6f759	Beads: focusa-over focusa-w26jj focusa-w26jj.4 focusa-w26jj.5	docs: close Spec 128 OTA lane
16e0098d0669badb91a622efedf27b7a8b5a7d08	Beads: focusa-api focusa-cli focusa-core focusa-cross focusa-intent focusa-memory focusa-over focusa-pi focusa-pre focusa-w26jj focusa-w26jj.2 focusa-w26jj.3 focusa-w26jj.4 focusa-w26jj.5 focusa-w26jj.6 focusa-w26jj.7	feat: complete pre-MVP STG closure gate
cac9d9e890b5e99579e9812048427406f14fd99b	Beads: focusa-project.json focusa-real	test: add real cross-surface product E2E
d61f0426ccccd1b8a2eb39073387da25fbce2814	Beads: focusa-api focusa-cli focusa-daemon focusa-daemon.service focusa-keychain focusa-over focusa-project.json focusa-strict focusa-tui focusa-ui0y focusa-ui0y.15 focusa-w26jj focusa-w26jj.2 focusa-w26jj.3 focusa-w26jj.4 focusa-w26jj.5 focusa-w26jj.6 focusa-w26jj.7	test: enforce portable strict spec E2E
3871959d01f7f9b50a235acc5e9cb597ffef04ba	Beads: focusa-build	refactor: remove deployment-specific product defaults
cd4bcda7cc5f9843f3c10081bb180b25140abcae	Beads: focusa-build focusa-daemon focusa-daemon.service focusa-project.json focusa-tui focusa-w26jj focusa-w26jj.5	fix: discover update inventory from active host
fa4da15bd9d03c0678900b770b128df1ab0138ca	Beads: focusa-slxpz focusa-slxpz.3 focusa-slxpz.4	chore: close Spec 132 orchestration phase
72824452be03cfda40b2f6b6fdb9e0a1d4203d08	Beads: focusa-cli focusa-terminal	test: repair native ConPTY capture proof
f4ea49b3237b6baf7e8ef98ddcf4f3449d28294d	Beads: focusa-audit.json focusa-audit.log focusa-cleanup focusa-context focusa-export focusa-slxpz.4 focusa-slxpz.5 focusa-trash	chore: clear strict workspace quality gates
8e20d76c5bd48693de8ea462422b64d7bf9651d2	Beads: focusa-conpty	test: capture hosted ConPTY durable output
a654c9603d752efc326acb5322825f8c1128a65b	Beads: focusa-pi	ci: prove every Spec 132 release target
